title_dt,body_dt
[인사]롯데그룹,▲롯데지주㈜ 경영개선실장 사장 박현철
[인사]롯데그룹,▲롯데홈쇼핑 대표이사 사장 이완신
[인사]롯데그룹,▲롯데케미칼㈜ 첨단소재사업 대표 내정 부사장 이영준
[인사]롯데그룹,▲㈜코리아세븐 대표이사 전무 최경호
[인사]롯데그룹,▲롯데멤버스㈜ 대표이사 내정 전무 전형식
[인사]롯데그룹,▲롯데지주㈜ 재무혁신실장 전무 추광식
[인사]롯데그룹,▲캐논코리아비즈니스솔루션㈜ 대표이사 내정 전무 최세환
[인사]롯데그룹,◇ 대표이사 및 단위조직장 보임
[인사]롯데그룹,▲롯데지주㈜ 이사회 의장 / 대표이사 부회장 황각규
[인사]롯데그룹,▲롯데지주㈜ 대표이사 내정 부회장 송용덕
[인사]롯데그룹,▲롯데그룹 호텔&amp;서비스BU장 사장 이봉철
[인사]롯데그룹,▲롯데케미칼㈜ 통합 대표이사 사장 김교현 겸임
[인사]롯데그룹,▲롯데물산㈜ 대표이사 내정 사장 김현수
[인사]롯데그룹,▲롯데케미칼㈜ 기초소재사업 대표 부사장 임병연
[인사]롯데그룹,▲롯데쇼핑㈜ 마트사업부장 부사장 문영표
[인사]롯데그룹,▲롯데칠성음료㈜ 통합 대표이사 부사장 이영구
[인사]롯데그룹,▲㈜씨텍 대표이사 내정 전무 모영문
[인사]롯데그룹,▲롯데쇼핑㈜ 슈퍼사업부장 전무 남창희
[인사]롯데그룹,▲㈜롯데자이언츠 대표이사 내정 전무 이석환
[인사]롯데그룹,▲롯데쇼핑㈜ H&amp;B사업부장 전무 홍성호
[인사]롯데그룹,▲롯데비피화학㈜ 대표이사 내정 전무 김용석
[인사]롯데그룹,▲롯데정밀화학㈜ 대표이사 전무 정경문
[인사]롯데그룹,▲롯데쇼핑㈜ 백화점사업부장 전무 황범석
[인사]롯데그룹,▲㈜호텔롯데 롯데월드 대표이사 내정 전무 최홍훈
[인사]롯데그룹,▲㈜호텔롯데 대표이사 내정 전무 김현식
[인사]롯데그룹,▲롯데중앙연구소장 전무 이경훤
[인사]롯데그룹,▲롯데컬처웍스㈜ 대표이사 내정 전무 기원규
[인사]롯데그룹,▲롯데쇼핑㈜ e커머스사업부장 전무 조영제
[인사]롯데그룹,▲롯데상사㈜ 대표이사 상무 정기호
[인사]롯데그룹,▲롯데엠시시㈜ 대표이사 상무 윤승호
[인사]롯데그룹,◇ 승진
[인사]롯데그룹,[롯데지주]
[인사]롯데그룹,"▲전무 차우철, 황용석"
[인사]롯데그룹,▲상무 이재홍
[인사]롯데그룹,▲상무보A 배극소
[인사]롯데그룹,"▲상무보B 손명정, 김종근, 박상호, 백철수"
[인사]롯데그룹,[롯데제과]
[인사]롯데그룹,▲전무 최명림
[인사]롯데그룹,▲상무 김용우
[인사]롯데그룹,"▲상무보A 김진석, 이정훈"
